Car_ID,Dealer_ID,Dealer_Name,Location,Contact,Ratings,Available_Brands
1,101,AutoNation,Los Angeles,123-456-7890,4.5,"Toyota, Honda"
2,102,CarMax,Houston,234-567-8901,4,"Ford, Chevrolet"
3,103,Penske,Chicago,345-678-9012,3,"BMW, Ford"
4,104,Lithia,Phoenix,456-789-0123,5,"Chevrolet, BMW"
5,105,Group 1,Philadelphia,567-890-1234,4.5,"Toyota, BMW"
6,106,Sonic,San Antonio,678-901-2345,3.5,"audi,ferrai"
7,107,Hendrick,San Diego,789-012-3456,5,"honda,ford"
8,108,Asbury,Dallas,890-123-4567,3,"kia,ford"
9,109,Holman,San Jose,901-234-5678,2,"kia,ferrai"
10,110,Heritage,Austin,012-345-6789,4,"volswagan,BMW"
11,111,Jim Ellis,San Francisco,123-456-7891,4,"ford,audi"
12,112,Larry H. Miller,Charlotte,234-567-8902,4.5,"Chevrolet, BMW"
13,113,McLarty,Seattle,345-678-9013,5,"Toyota, BMW"
14,114,OpenRoad,Denver,456-789-0124,4,"audi,ferrai"
15,115,Park Place,Boston,567-890-1235,3,"volswagan,BMW"
